gate,sum_gc,sum_depth,carry_gc,carry_depth
++-+-+0-0,20,5,17,5
00+0+0-+-,18,5,18,5
+000+0-+-,14,5,6,4
0++++0--0,13,5,8,4
00++--+00,13,5,15,5
0+0+--+00,15,5,18,5
00+-+-0+0,18,5,15,5
+-0+-0+0-,10,5,16,6
00-+-+0-0,17,5,20,5
+0+--0++0,19,5,9,4
0-0++-00-,14,5,19,5
+00-+-0+0,15,5,17,5
0++++00--,21,5,20,5
+000+0+--,8,4,14,5
++0-+--+-,29,6,21,6
+---+-+00,20,5,16,5
+-+++-0-0,13,5,12,5
++-+-+00-,17,5,14,5
+-+-++0-0,13,5,16,5
+00+--0+0,13,5,24,5
++-+-0-+0,15,5,16,5
0-0+-+00-,16,5,12,5
00-++-0-0,17,5,13,5
0+0-+-+00,17,5,12,5
0+++-00+-,19,5,17,5
0-0+-+-00,16,5,17,5
00-++--00,17,5,13,5
+00--++--,18,5,13,5
0++--00--,16,5,17,5
+00-+-+--,21,5,16,5
0+0--+-+-,19,5,13,5
0--+--+00,16,5,7,4
0+0+---+-,15,5,19,5
++00----0,20,5,17,5
++--++00-,19,5,13,5
0++0----0,19,5,8,4
0+-+--+00,22,5,7,4
+00+---+-,15,5,15,5
0++0---0-,19,5,9,4
++-+-0+-0,19,5,18,6
0-0+-+++-,16,5,15,5
+-+0-000-,13,5,6,4
+-+0-0-00,22,5,17,5
0+0-+-+--,19,5,17,5
++--++--0,19,5,14,5
++-+-+--0,12,5,23,5
00+0+0++-,19,5,18,5
00+++-+00,20,5,18,5
0+0+-++00,20,5,12,4
0-0-+--00,13,5,17,5
00+++-0+0,16,5,16,5
+0+0-0++0,19,5,10,4
0-0-+-00-,18,5,15,5
+-+++---0,17,5,15,5
+-+-++0--,18,5,15,5
++--++0--,21,5,9,5
+00+-+0+0,11,4,19,5
0--0+0-0-,13,5,10,4
00++-+0+0,14,5,17,5
00--+-0-0,18,5,17,5
+-00++0+-,15,5,13,5
00-+---00,15,5,15,5
++0--++--,16,5,9,5
+----++00,14,5,17,5
++0--+-+-,16,5,18,5
+0+-+0+-0,15,5,19,5
0---++++-,16,5,10,5
+000----0,17,5,7,4
0+00---0-,9,4,6,4
0+0--0-0-,19,5,6,4
0++-+-+--,21,5,23,5
0++--++--,19,5,14,5
0+---0++0,18,5,12,4
+00--00--,14,5,9,4
+--+---00,20,5,28,6
++00++0+-,11,5,16,5
++-+-++-0,20,5,19,5
00+0+00+-,19,5,16,5
+---+-0+-,21,5,12,5
0+0+-0+00,15,5,11,4
00+0+-0+0,12,5,18,5
+0++-0++0,18,5,10,4
0-00+-00-,19,5,8,4
0++++00+-,17,5,7,3
+000+0+-0,8,4,8,4
+-+++-+-0,16,5,13,5
0++0---00,18,5,15,5
++--++0+-,7,4,17,5
+00+-00+0,19,5,8,4
0--0+--0-,15,5,10,4
00-0+-0-0,13,5,11,4
0+++--0+-,20,5,15,5
0-0+-0-00,13,5,20,5
+-0--++--,7,4,12,5
0+-0-000-,8,4,8,4
0+-+---+-,16,5,13,5
0+--++++-,14,5,13,5
0+-0---0-,19,5,17,5
+-0+-+++-,18,5,12,5
0+--+-+--,17,5,18,5
+-0--00--,14,5,18,5
+--+---+0,15,5,14,5
++00+++--,17,5,15,5
++-+-+0+0,18,5,18,5
00+0+0-0-,19,5,13,4
+---+-0-0,19,5,18,5
+----+00-,16,5,15,5
0+00--+00,16,5,10,4
+0+--+++0,17,5,19,5
+0++--++0,20,5,8,4
0--+-+-0-,15,5,8,4
0--++---0,14,4,11,5
0++++0+--,19,5,18,5
++0--00+-,18,5,15,5
+----+-00,19,5,21,5
+000+00--,13,5,6,4
+---+--00,17,5,21,5
+-+++-0+0,15,5,16,5
+000--0+0,10,4,6,4
0---++-0-,19,5,18,5
+0+-+-++0,20,5,8,4
00++-+++-,13,5,15,5
00+-++++-,15,5,21,5
++-0----0,19,5,18,5
0+0+-+++-,12,4,17,5
+0+0-0-00,16,5,10,4
0-0-+-+--,19,5,21,5
0++--0++0,15,5,9,4
++---00--,19,5,15,5
0-++--++-,21,5,16,5
++00+++-0,17,5,11,4
+-+-+++-0,17,5,11,5
++-+-+0+-,9,4,14,5
++0-+--0-,15,5,20,5
+---+-+-0,15,5,12,5
00-0+--00,17,5,18,5
0+00+-+00,17,5,11,4
++-+---+0,22,5,23,5
0-0+-000-,16,5,8,4
0--0+---0,13,5,21,5
0++++0+-0,19,5,16,5
+000+00+-,14,5,6,4
+---+--+0,17,5,15,5
+-+++-0+-,16,5,11,5
+000+-0+0,15,5,8,4
00++-0+00,21,5,20,5
+-0--0-0-,14,5,21,5
+-00-000-,14,5,6,4
0+-+-+++-,16,5,15,5
+0-0-000-,20,5,8,4
0+---+-+-,21,5,13,5
+-0-+-+--,9,4,15,6
0+---00--,21,5,11,4
++--+++-0,17,5,15,5
++-+-+-+0,23,5,22,6
00+0+0+0-,14,5,19,5
+----+0+-,16,5,13,5
00+0+-+00,11,4,8,4
0+00-++00,15,5,10,4
0-00+--00,18,5,10,4
+0+0-+++0,23,6,19,5
0--+-0-0-,16,5,8,4
0++++0+0-,18,5,20,5
+0+++00+-,16,5,17,5
+-+++--+0,17,5,14,5
00+0+0+-0,11,4,7,4
+-+-++0+-,16,5,21,5
+000-+0+0,13,5,14,5
0---+0-0-,29,6,19,5
0--0++-0-,20,5,9,4
+0+0+-++0,16,5,8,4
00++-00+0,19,5,10,4
+-0-+-+0-,18,5,14,5
00--+00-0,16,5,10,4
+-0--+-+-,15,5,21,5
++00++--0,16,5,17,5
0-++---+-,17,5,17,5
+-00---0-,17,5,16,5
+0-0----0,17,5,24,5
+-0-++++-,18,5,21,5
0+---0-0-,17,5,8,4
+0-0-0-00,20,5,19,5
0-+-+-+--,23,5,21,6
0+---++--,18,5,12,5
+0---00--,19,5,21,5
++0-+-+--,9,4,18,6
0+0--00--,19,5,19,5
+--+--+00,37,7,32,7
++0+---+-,9,4,19,6
0++--+-+-,13,5,14,5
0+---0+-0,19,5,11,4
+00--0-0-,14,5,10,5
+--0-000-,10,5,17,5
+0++-0+-0,13,5,13,5
0--+-+++-,15,5,14,5
0+0++-+00,17,5,19,5
00++-++00,13,5,12,5
00--+--00,12,5,15,5
+00++-0+0,18,5,18,5
+-00+++0-,20,5,22,5
00-+--0-0,15,5,17,5
0-0+--00-,17,5,17,5
+-+-++--0,18,5,14,5
0-++--0+-,15,5,19,5
++00++0-0,20,5,20,5
+000+0++-,17,5,15,5
0++++00-0,17,5,15,5
0+++-+++0,24,6,12,4
++-+-+0--,9,4,21,6
0-00++-+-,15,5,21,5
++-0+0--0,12,5,19,5
+0+--+0-0,18,5,12,5
0-0++0-+-,19,5,15,5
0++-+--00,18,5,18,5
0+0+-+-+-,16,5,18,6
0--+-++00,18,5,17,5
++---0+00,7,4,14,5
00+++-0--,15,5,16,5
++---00+0,9,4,12,4
00+++--0-,16,5,18,5
+0++-000-,14,5,7,4
0+0+-+--0,17,5,18,5
0+--+++-0,4,3,16,5
+00-++-0-,18,5,15,5
++00+0+0-,17,5,4,3
+--0++0-0,17,5,9,4
+00-++--0,13,5,7,4
+00++---0,16,5,20,5
0+-+-++-0,19,5,7,4
+00+-+-0-,15,5,10,4
0+0--0---,17,5,14,5
0+00+-0-0,10,5,31,6
000++0++-,33,6,11,4
+-+0-+000,14,5,9,4
0--0+-+--,24,6,27,6
++0+-+-00,18,5,13,5
0+0--0-+0,16,5,18,5
0-0-+---0,27,6,14,5
0-+0+00-0,28,6,16,5
++0--+000,22,6,17,5
+-00+00-0,20,6,24,6
0--++-000,15,5,15,5
+000+-+0-,6,3,8,4
0+-0+00-0,17,5,14,5
+-00-00+0,22,6,14,5
00-++0---,17,5,16,5
++0-+0++-,33,6,12,5
0+-0+0---,19,5,17,5
+0++-++00,19,5,17,5
0++-++-+-,26,6,16,5
++++-++00,29,6,14,5
0+00+++0-,16,5,7,4
0--+--0-0,28,6,9,4
+-00-0-+0,18,5,18,5
00-++-+--,14,5,18,6
00+0++00-,27,6,17,5
0++0--++0,14,5,11,4
++-0--0--,35,7,20,6
0-0-++-0-,14,5,14,5
++--+-++0,27,6,18,6
0-+++-++0,17,5,15,5
+--++-0--,29,7,21,6
++0-+-++-,25,6,15,6
+00---0+0,15,5,8,4
0+-0+----,28,6,28,7
0+0--00-0,26,6,17,5
++0+-+-+0,22,5,21,5
0--0+-+0-,7,4,16,5
0+0-+--+0,24,6,16,5
0--++-+--,26,6,16,5
+++--+-00,24,6,17,6
0+00-0-+0,23,6,12,4
+-00+00+-,7,4,9,4
0+-++-000,28,6,14,5
++00---0-,18,5,16,5
+--0--+-0,14,5,16,5
+00++-++0,15,5,14,5
000-+---0,19,6,12,4
0++0-00+0,23,6,16,5
0-0++0---,15,5,17,5
00--+--0-,18,5,17,5
+-++-++00,18,5,15,5
00+-++-+-,13,5,33,6
0+00+00--,32,6,19,5
0++0++-+-,28,6,25,6
++00+++0-,21,5,19,5
+--+--0-0,31,6,23,6
00-0++00-,17,5,17,5
0++0+0+0-,18,5,8,4
0-00++0-0,38,6,19,5
0+0--00+0,36,6,16,5
++0+-+000,19,6,17,5
0--0+0---,16,5,20,5
+0-++-++0,22,6,9,4
00--+---0,16,5,20,5
0++0-00-0,25,6,15,5
0-0++-+0-,21,5,8,4
00--+--+-,30,6,17,5
+-++-++-0,27,6,18,5
0-+-++-0-,20,5,18,5
++0-+-++0,23,6,19,6
0-0+---00,13,5,18,5
0++0++0+-,23,6,25,6
00-0+-00-,22,6,9,4
0+00+-0+0,33,7,23,6
000++0+--,16,5,16,5
0--0+-0--,24,7,25,7
++0+-0+00,24,6,13,5
+-00-00-0,27,7,20,6
00-++-+0-,24,6,10,4
+00+-0000,25,6,9,4
0+0-+-++-,18,5,22,5
0-++-0-00,21,5,16,5
+--+--0+-,24,6,19,6
0+00-+0+0,33,6,32,6
0-00+-0-0,23,6,26,6
+000--+0-,17,5,4,3
0+-0-00-0,31,6,32,6
0-++--+--,22,6,20,5
0+00+-+0-,17,5,14,5
0--0+00-0,26,6,17,5
0+-+--+--,25,6,12,5
+--0-+-00,9,4,15,5
++00-00+-,19,5,6,4
+++0---00,17,5,9,4
000-+++--,9,4,21,6
000+-+-+-,22,6,22,6
+000++---,11,5,24,6
+-00-0+-0,25,7,15,5
+-+-+-000,17,6,18,6
000+-+++-,14,5,18,5
00+++0---,15,5,10,4
0-++--+-0,11,5,7,4
+++0--0-0,16,5,17,5
0+00--0-0,25,6,30,6
+++--0-+0,19,5,18,5
+-00+-+--,16,5,15,5
000-++-+-,30,6,25,6
+-0+-++00,14,5,17,5
000+--++-,25,6,11,5
00-+--+--,30,6,19,5
0+-0-+-00,11,4,11,4
+000-00+-,16,5,8,4
0--+-0--0,15,5,6,4
0+0+--00-,15,5,15,5
000+-++--,22,6,11,5
+++--0-00,28,6,13,4
0+00---+0,13,5,19,5
+++0-0--0,24,6,14,5
+0+0++0+-,11,5,18,5
0+0+---00,16,5,6,4
+++--00-0,26,6,13,5
0+00--000,30,6,22,5
0+0++0+0-,16,5,7,4
0--+++0-0,24,6,15,5
+00++-0+-,15,5,15,5
0-0+++0--,11,5,12,5
++0---+00,30,6,22,6
++0+-0++-,35,7,14,5
+--+-+000,12,5,26,6
+--++-000,27,6,17,5
+00++0---,29,6,11,5
000-+--0-,25,6,24,6
+-0+--+-0,28,7,28,8
+-++--000,22,6,23,6
0+00++---,23,6,9,4
00+0++---,27,6,14,5
0++++000-,16,5,7,4
0-0+++--0,28,6,15,5
+-+--+000,26,6,22,6
0000+0++-,28,6,14,5
0+00--0+-,25,6,17,5
0+0++0---,17,5,20,5
000+--+-0,26,6,19,5
0-0-+0+--,19,5,10,4
++--+-000,18,6,15,5
++00+0---,29,6,6,4
0+-++--0-,15,5,18,5
+++0-00-0,30,6,15,5
0+0+--000,14,5,26,6
00-++00-0,15,5,10,4
+-0++-+0-,14,5,15,5
0+0-+00-0,37,6,28,6
000-+--+-,33,7,32,7
+-0+--+00,26,6,9,4
00-+++00-,35,8,27,6
+-++-+000,32,7,31,7
0+00+0---,28,6,14,5
+++0----0,19,5,8,4
+++--0++0,21,6,13,5
0--++-00-,16,5,16,5
+-00+00--,17,5,6,4
000-++++-,18,5,25,6
000+---+-,19,5,14,5
0-0+++00-,16,5,8,4
++00++---,17,5,14,5
+000-0+-0,12,5,7,4
+-0+---+-,19,5,19,5
00-+--+00,34,6,6,4
++0--0++-,33,6,16,5
+----+000,12,5,20,6
+0+0-00--,17,5,4,3
0+00-0++0,24,6,15,5
+++--++00,20,6,12,5
0++++0---,19,5,7,3
00++--+-0,10,4,16,5
+000+0---,14,5,5,4
00-++--0-,19,5,16,5
000+-0-+0,12,4,17,5
0+0++00+-,25,6,6,3
++-+-+000,17,5,16,5
+++-+00+-,9,4,11,4
0+00+-+--,16,5,15,5
+0+--0-+0,22,5,21,5
+0+---++0,16,5,15,5
+-0++++0-,9,4,9,4
0+0+-+000,26,6,27,6
+0----0+-,9,4,11,4
0-++-0---,9,4,15,5
+-+++-0--,9,4,21,6
000++-++0,19,5,15,5
+0++-+000,26,6,19,6
0++-+0++-,16,5,16,5
0-00+0---,23,6,10,4
++++-+000,23,6,18,7
0++--00+0,19,5,15,5
0+-0-----,32,6,16,5
++0++-0+-,24,6,26,6
00-+-0-+-,16,5,15,5
++++----0,17,5,14,6
0000++++-,10,5,14,5
+-0+-+00-,14,5,16,5
000+---+0,19,5,9,4
0+0++-0+-,25,6,18,5
+0+-----0,15,5,18,5
000-+-0--,22,6,20,5
+-0+--++0,15,5,23,6
+00++0-+-,14,5,16,5
000+---0-,17,6,23,6
0+-++-++-,34,7,17,6
+000-0000,36,6,8,4
+--+++--0,19,5,17,5
++00+0++-,19,6,14,5
0+-++0---,19,5,16,5
+000-00+0,13,4,16,5
00++++0-0,17,5,14,5
0++++-000,27,6,24,6
0+++-+000,26,6,12,4
0--++0+--,14,5,8,4
+0+++-000,31,6,20,6
0++0-+++-,17,5,21,5
00-0+0---,27,6,12,5
+-0--00+0,14,5,17,5
+00-+0++-,18,5,8,4
0+0---00-,18,5,15,5
+-+--+--0,19,5,16,5
0000+000-,35,6,7,3
+0+-++0--,19,5,11,5
0++---++-,16,5,14,5
++0-++---,18,5,14,6
+00--0+-0,17,5,20,5
0+++-+---,31,6,12,4
00-+-00--,9,4,6,4
++++---00,16,5,19,6
0000+++--,16,5,11,5
00--+00+-,18,5,20,5
+++-+-0-0,12,5,19,5
+-0+-++0-,14,5,19,5
+00+++0--,27,6,13,5
000-+000-,17,5,16,5
0+0+++00-,22,6,6,3
+-++-00+-,18,5,15,5
000+-+-00,23,6,21,5
+-+---0+0,15,5,23,6
0000+----,22,6,13,5
0++-++-0-,28,6,12,4
0-0-+++-0,18,5,16,5
++---+000,9,4,23,6
0++0+0++-,19,5,8,4
+0-++000-,18,5,4,3
00++++--0,15,5,11,5
0+++--000,16,5,21,5
0---+0+--,18,5,10,4
+0+-+-000,13,5,15,5
00-+-+-+-,17,5,21,6
++++-0--0,15,5,22,6
0-0+++-+-,14,5,23,6
+00-++---,24,6,19,5
00-0+0-0-,31,6,20,5
+-0--0+-0,31,7,34,7
00-+-000-,21,5,17,5
++++---+0,16,5,19,5
0000+++0-,15,5,15,5
000-+00--,18,5,8,4
+00+++-+-,20,5,23,6
000+-0-0-,8,4,8,4
00+++++-0,14,5,11,4
0-0+-0+0-,16,5,8,4
++-+--0+0,18,5,22,5
+-+---0+-,7,4,15,5
0+++-0000,15,5,11,4
++0++0+--,35,7,20,6
+00+-00-0,28,6,6,4
00--+0---,13,5,9,4
00-+-0---,16,5,16,5
0+-+-+---,18,5,13,5
0000++-+-,15,5,13,5
+-+--++00,17,5,13,5
+0+----00,11,5,25,6
+00---+00,43,8,24,6
0+-0+--+-,30,7,25,7
+---+0+-0,18,5,14,5
++0-+0-0-,19,5,6,4
+++0+0--0,30,6,5,3
0+0++--00,8,4,17,5
00--+00--,8,4,8,4
+++-+--00,30,6,19,5
+++0+00--,40,6,14,5
0--++0--0,15,5,11,4
0+0++-00-,26,6,16,5
0+0++00-0,28,6,26,6
000++--+-,32,6,19,6
+-+0--+00,7,4,20,5
+++--0+00,27,6,10,4
0--++-0--,16,5,17,5
0+00--++0,16,5,21,5
000+-+0--,28,6,21,5
0+0+++0--,28,6,18,5
+++0--0+0,15,5,14,5
+-+++-000,14,5,17,5
000-++-0-,24,6,27,6
+-0+-++-0,25,6,26,6
+--+++00-,21,5,18,5
0+-0--+--,14,5,15,5
+-0++-++-,25,6,14,5
+++0-0000,21,6,9,4
0-0-+----,17,5,19,5
+00+++--0,16,5,9,4
++0++0+0-,39,7,6,4
+--+++0-0,32,6,24,6
++----+00,16,5,14,5
0++--+000,33,6,17,5
00-++++0-,18,5,10,4
+++0+-+00,15,5,16,5
00-0++---,30,6,10,4
0+0---+00,16,5,15,5
0--0+--+-,18,6,18,5
0-++-+++-,19,5,17,5
++0+-0+-0,22,6,25,6
00-++++--,16,5,14,5
0+0+-0+0-,17,5,9,4
0--+-+0-0,22,6,15,5
++0----00,31,6,14,5
0+++--++0,17,5,17,5
++-+--0--,22,6,20,6
00++++00-,31,6,21,5
0-0++++--,29,6,17,5
+++--000-,10,5,21,6
+-0--+--0,10,4,17,6
0+0---++-,25,6,21,6
0++---00-,16,5,8,4
+-0+-0++0,25,6,18,5
++++-00--,15,5,16,5
++-0--000,16,5,15,5
00+-++---,23,6,20,6
0-0++0++-,17,5,11,4
++-++-+-0,31,6,14,5
+-+0--000,17,5,18,5
0+0-++---,15,5,19,6
0000++---,27,7,16,6
00--+0+--,8,4,8,4
+++-+-000,36,7,20,6
000++-++-,27,6,25,6
+-+0-0000,15,5,18,5
+0+++000-,14,5,4,3
0+0+++--0,16,5,7,4
+++--+000,25,6,13,5
0--++0---,16,5,11,5
+-00+0++-,15,5,13,5
000-+00+-,13,4,19,5
+++---0+0,26,6,22,6
+0+--+000,19,6,24,6
+-+---000,28,7,30,7
000+++0--,24,7,21,6
+-+0-+++0,17,5,16,5
0+++-000-,14,5,9,4
0-0+-+--0,14,5,16,5
0++---000,35,7,22,6
++-++-+00,35,6,17,5
0-0+++---,29,6,20,5
0++0-+0+0,18,5,17,5
0-++-+-+-,16,5,13,5
++0+-0--0,17,5,23,6
0++---+00,19,6,26,6
00-+-+++-,15,5,15,5
++++-0+-0,24,6,26,6
000++++--,21,6,31,7
+00+++---,29,7,20,6
000-+0-0-,16,5,7,3
+++----00,27,6,24,7
0++---0-0,15,5,7,4
00-+-+00-,15,5,16,5
++++-0-+0,6,3,18,5
000+++-+-,29,7,33,7
0+++-00--,7,4,20,5
0-0+-0++0,43,6,19,5
+-+0-++00,19,5,9,4
0--++-0+0,20,5,19,5
0+0++----,16,5,22,6
0000+++-0,17,5,15,5
+-0--0--0,24,6,27,6
+++---00-,33,7,18,6
0+0-++0+-,13,5,17,5
+++0--000,26,6,9,5
000-++---,21,6,17,5
0-+++0+0-,17,5,7,3
++0++-0+0,28,6,12,5
000+-+---,31,7,20,6
+++--00+0,16,5,20,5
+-00+0---,17,5,6,4
0+00--+-0,8,4,19,5
0+0--0--0,19,5,13,4
+0+---00-,36,6,18,5
000-++0+-,13,5,15,5
000++----,20,6,25,7
0++0++-0-,18,5,17,5
0-00+++-0,18,5,17,5
+-+0--0+0,16,5,16,5
000++0-+-,17,5,18,5
+-+0-0+00,22,6,18,5
00-+-0+0-,20,5,6,4
++++--0+0,30,6,16,5
0+0++++-0,16,5,10,4
000++0---,27,6,12,5
+++--+0+0,13,5,20,5
+-00++---,16,5,17,5
0+00-0+-0,16,5,17,5
+-+---+00,26,6,13,5
0000+--+-,24,6,12,5
0+0++++--,31,6,16,5
000+-+0-0,26,6,27,6
+-0+-0-00,17,5,11,5
++++--0+-,16,5,11,5
+++--+00-,18,6,18,5
0+00-00+-,23,6,23,6
0+0+++---,22,7,24,7
000+-0+-0,29,6,20,5
++-----00,15,5,12,5
+++---0-0,25,7,22,7
+0+0--000,15,5,7,3
+-0+++++-,16,5,14,5
++00--000,27,6,6,4
0++--0000,22,6,9,4
++++-+0-0,16,5,14,5
0-00+-++-,9,4,19,5
0-0++0+0-,16,5,7,4
++-++-0+0,27,7,17,6
+-+---00-,15,5,22,6
0-0++----,27,6,16,5
0++0--0+0,13,5,10,4
00--+0+0-,16,5,10,4
+++-+-0+0,26,6,24,6
0+0+++-+-,35,7,30,7
+-+---0-0,28,7,30,7
00+++----,15,5,21,6
0++--0--0,16,5,6,4
++----00-,26,6,25,6
00+-++0+-,12,4,18,5
0++0--000,30,6,18,5
0+---0--0,23,5,21,5
+00---00-,20,6,6,4
00-++----,26,6,27,7
+000+-++-,17,5,17,5
+-00--0+0,16,5,16,5
+0+0+++-0,17,5,8,4
0--+--++-,24,6,10,5
+++0-++-0,21,5,8,4
0--+++00-,16,5,13,5
0000+-+0-,18,5,20,5
+-+--00-0,16,5,10,5
0000+--+0,24,5,8,4
+++0-+0+-,13,5,16,5
0--+-+-+0,12,5,12,4
0+0+-0+--,21,5,19,5
000+-0+0-,20,5,6,4
0-+++++-0,15,5,7,4
0+--+----,20,5,15,5
+0-+--0+0,17,5,8,4
+-0---+0-,16,5,19,5
+-0-+0---,15,5,13,5
0+0---+-0,14,5,14,5
+0+---0-0,17,5,17,5
+-0+++-+-,7,4,16,5
+++0-++00,21,5,9,4
+0++-00--,17,5,20,5
0+0+-0++0,25,6,12,4
0+-0-+---,16,5,17,5
00--++++-,17,5,17,6
+++-+0+-0,16,5,16,5
+0-+-0000,17,5,15,5
0+--+-++-,17,5,13,5
0-+0+----,6,3,14,5
+-----0+0,10,4,21,6
0--+++0--,33,6,14,5
0++----+0,16,5,7,4
0000+-+--,19,5,18,5
+-+--0-+0,13,5,19,5
+00----00,25,6,15,5
0++-++---,26,6,15,5
+++0-+00-,13,5,19,5
0--+-+-00,15,5,10,4
0+0+-00+-,20,5,20,5
000+-0++-,15,5,17,5
00--++0+-,15,5,14,5
+++-+00-0,13,5,19,5
0+00+-000,25,6,16,5
+++0-+--0,18,5,12,5
+0++--0+-,14,5,14,5
0+0+-0-00,20,5,11,5
+++0--+-0,18,5,14,5
000+--0+-,17,5,20,5
+-00-+-00,11,4,8,4
+++0-00+-,19,5,5,4
000+-++0-,21,5,16,5
000++-+-0,16,5,19,5
+++0-0-+0,6,3,10,4
+-0++-+--,17,5,19,6
000++---0,15,5,16,5
+0+---000,23,7,15,5
+-0+++0--,19,5,19,5
+++0-+++0,17,5,15,5
++0---000,35,7,16,6
+0-+++0--,16,5,17,5
0-++-000-,15,5,7,4
++0+---+0,16,5,18,5
0--0+0+--,29,6,19,5
+0+0+-000,8,4,8,4
0++--+++-,19,5,17,5
+00-+-0+-,19,5,16,5
0+-+++-0-,17,5,17,5
+--+--0+0,18,5,19,5
++0+-----,25,6,24,6
+-0+-0-+-,18,5,19,5
00-+-0+00,20,5,8,4
+000++++-,16,5,20,5
0+-+--000,17,5,18,5
++00-00-0,34,6,19,5
0-+0+0---,5,3,10,4
0000++-0-,29,6,9,4
+-+--++-0,17,5,10,4
+0--+-000,14,5,10,5
0+----+0-,9,4,16,5
+-0--+000,11,5,20,5
000+++-0-,24,7,15,5
0+++-0-+-,22,5,19,5
0-0+-0+00,18,6,9,4
+-+0-++-0,18,5,17,5
+0-0+-000,18,5,6,4
0-0+++0+-,16,5,20,5
0--+-0-00,13,5,8,4
0+0+--0+-,16,5,20,5
0++-+0---,17,5,14,5
0-0+++-0-,16,5,14,5
+--0+-000,19,5,16,5
+00-+0---,15,5,16,5
+-0---+-0,45,7,28,8
00-0+--0-,22,6,16,5
++----0-0,30,6,12,5
0+00-+---,19,5,15,5
+0+++0--0,17,5,9,4
0--+++-+-,19,5,11,4
00-+--+-0,14,5,8,4
+-0+---0-,15,5,14,5
0000+-++-,15,5,14,5
+-+--0000,19,6,13,5
0-0++000-,10,4,6,4
++-++--+0,21,5,20,5
+-00-+++0,20,5,21,5
+++0-+0--,21,6,16,5
0--+-+--0,16,5,7,4
0+0+-000-,21,5,13,5
000+-0+--,26,6,7,4
0+00+--00,20,5,10,4
+0+0++0-0,15,5,7,4
0--+--0+-,14,5,21,6
+++0-+0-0,15,5,19,5
0+0+-0000,27,6,30,6
00-+++0-0,13,5,15,5
+-0++0+0-,18,5,19,5
000-+0-+-,17,5,9,4
+-0+-0+00,31,7,17,6
++00-00+0,25,5,17,5
0---+--0-,15,5,10,5
+00+---0-,17,5,15,5
0+-+--+-0,7,4,8,4
000-+----,22,6,22,7
+00++-++-,23,6,24,6
+-0+--0+0,9,5,17,5
00++++-+-,20,6,22,6
+-----0-0,21,6,21,6
0000+--00,14,5,12,4
00++-+---,24,6,21,5
00-++0+0-,16,5,7,3
+++++-0+0,30,6,16,5
00++++---,22,6,18,6
0+---0---,20,5,7,4
0000++00-,30,6,14,5
0000++0-0,27,6,8,4
+++0+-0+-,25,6,25,6
0+00+---0,12,5,13,5
+++-+-+00,17,5,15,5
00--++---,26,6,17,5
+-0----+0,14,5,15,6
++0++++--,31,6,13,5
+00+-+0-0,15,5,14,5
+-0---00-,15,5,14,5
0--++----,19,5,13,5
0+00--0+0,24,6,23,6
+++--0000,29,7,11,6
+-00+-++-,15,5,15,5
0+00-00--,33,6,32,6
+-00-+000,18,5,18,5
0+0+-0---,10,4,21,5
0--+-00+0,17,5,18,5
+0+++++-0,20,5,17,5
+++--0--0,37,7,31,7
++0+++--0,35,7,19,6
0+0++0++-,23,6,14,5
000+-00+0,16,5,13,5
+0+0-+000,15,5,8,4
+-0--+++0,14,5,21,5
+++--+0--,18,5,13,6
0+00-000-,18,5,9,4
+-+-----0,31,6,11,4
+-00-+---,9,4,11,4
000-+++-0,15,5,17,5
+0+---0+0,13,5,14,5
000+-----,36,7,15,6
+0+--0000,21,6,9,4
0+00+-++-,27,6,14,5
+-+++-00-,19,5,12,5
000++0--0,27,6,14,5
+-+---0--,15,5,15,6
0++0-0000,31,6,18,5
++0++-+--,27,6,19,6
+00+--0-0,33,6,20,5
00--+----,29,6,15,5
+0+++0+-0,18,5,18,5
0--+++++-,16,5,16,5
00-+-00-0,18,5,11,4
+-0+--+0-,14,5,14,5
0-++-0++0,18,5,14,5
+--+-00--,18,5,12,5
+0-+-+000,12,5,22,5
0+--+0++-,17,5,18,5
+++-+++-0,14,5,16,5
00++++0--,31,6,12,5
+-----000,21,6,27,6
++++-0++0,22,6,13,5
0+00-0000,23,6,32,6
+++--+0-0,15,5,24,6
000-++0--,24,6,18,5
0000+-0-0,25,6,32,6
0+0-++00-,21,5,18,5
0+00++0-0,28,6,19,5
+++0---+0,20,5,8,4
0000+0-+-,17,5,18,5
000++-0--,23,6,17,6
0++0++00-,33,6,11,4
0-0+----0,17,5,10,4
+-+0--++0,18,5,17,5
+++--+--0,27,6,16,5
+0+0--0+-,13,5,6,4
0+00-0-00,18,5,14,5
00-0++--0,16,5,13,5
+-00+000-,19,5,8,4
0--++-0+-,15,5,21,5
000++-00-,26,6,15,5
+-+0-0--0,14,5,11,4
+----00+0,12,4,19,5
++0--0---,25,6,18,6
000-+-0+0,26,6,16,5
0+++-+0+0,27,6,16,5
00+++++--,14,5,12,5
0+++-0-00,18,5,12,4
++-+--0+-,16,5,17,6
0-++-+0-0,29,6,11,4
0000+-0+0,33,6,8,4
+00---++0,16,5,18,5
0+-0+-0--,21,6,26,6
++0-+0-+-,17,5,14,5
00-++-000,23,6,14,5
+000+00-0,20,5,9,4
0+0-+-000,24,6,25,6
++0+++-+-,17,5,13,6
+00+-0++0,17,5,9,4
0+0-+00--,13,5,16,5
000++++0-,16,5,6,3
+++0--+00,14,5,15,5
+0+0+-+00,18,5,15,5
0--0++---,25,6,14,5
++0-----0,23,6,20,6
0+---0-+0,15,5,8,4
